Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-343,SITE-337,Water Biology Exhibition,Mediterranean Sea Species Gallery,قاعة أنواع البحر المتوسط,"A gallery dedicated to the rich biodiversity of the Mediterranean Sea, featuring specimens, interactive displays, and scientific information about endemic and migratory marine species.",قاعة مخصصة للتنوع البيولوجي الغني للبحر المتوسط، تعرض عينات وشاشات تفاعلية ومعلومات علمية عن الأنواع البحرية المستوطنة والمهاجرة.,First floor of the Water Biology Exhibition building.,الطابق الأول من مبنى معرض بيولوجيا الماء.,MuseumHall,Modern Era,31.2249,29.9599,FALSE
ATTR-344,SITE-337,Water Biology Exhibition,Nile Freshwater Fish Section,قسم أسماك النيل العذبة,"A dedicated section showcasing the diverse freshwater fish species of the River Nile, including rare and endangered species, displayed with ecological context.",قسم مخصص يعرض الأنواع المتنوعة من أسماك المياه العذبة في نهر النيل، بما فيها الأنواع النادرة والمهددة بالانقراض، ومعروضة في سياقها البيئي.,"Second floor of the Water Biology Exhibition, inland fish section.",الطابق الثاني من معرض بيولوجيا الماء، قسم الأسماك النهرية.,MuseumHall,Modern Era,31.2248,29.9598,FALSE
ATTR-345,SITE-337,Water Biology Exhibition,Marine Mammals Display,معرض الثدييات البحرية,"An exhibit dedicated to the marine mammals of the Mediterranean and Red Sea, including dolphins and dugongs, with skeletal specimens and ecological information.",معرض مخصص للثدييات البحرية في البحر المتوسط والبحر الأحمر، بما فيها الدلافين وأبقار البحر، مع عينات هيكلية ومعلومات بيئية.,Upper floor of the Water Biology Exhibition building.,الطابق العلوي من مبنى معرض بيولوجيا الماء.,MuseumHall,Modern Era,31.225,29.96,FALSE
ATTR-346,SITE-337,Water Biology Exhibition,Coral Reef Exhibit,معرض الشعاب المرجانية,"A vivid exhibit displaying preserved and living coral reef specimens and their associated ecosystems, highlighting the ecological importance and fragility of reef environments.",معرض حيوي يعرض عينات الشعاب المرجانية المحفوظة والحية وأنظمتها البيئية المرتبطة بها، مع تسليط الضوء على الأهمية البيئية وهشاشة بيئات الشعاب.,Ground floor east wing of the Water Biology Exhibition.,الجناح الشرقي بالطابق الأرضي من معرض بيولوجيا الماء.,MuseumHall,Modern Era,31.2249,29.9601,FALSE
ATTR-347,SITE-338,Museum of Fine Arts,Egyptian Modern Art Gallery,قاعة الفن المصري الحديث,"A prominent gallery showcasing Egyptian modern and contemporary paintings and sculptures, tracing the evolution of Egyptian artistic expression from the late 19th to the 21st century.",قاعة بارزة تعرض اللوحات والمنحوتات المصرية الحديثة والمعاصرة، تتتبع تطور التعبير الفني المصري من أواخر القرن التاسع عشر حتى القرن الحادي والعشرين.,"Ground floor of the Museum of Fine Arts in the Moharram Bey district, Alexandria.",الطابق الأرضي بمتحف الفنون الجميلة في حي محرم بك، الإسكندرية.,MuseumHall,Modern Era,31.2015,29.9381,TRUE
ATTR-348,SITE-338,Museum of Fine Arts,European Paintings Collection,مجموعة اللوحات الأوروبية,"A distinguished collection of European oil paintings donated to the city of Alexandria, featuring works from Italian, French, and Dutch masters of the 17th to 19th centuries.",مجموعة متميزة من اللوحات الزيتية الأوروبية المهداة لمدينة الإسكندرية، تضم أعمالاً للمعلمين الإيطاليين والفرنسيين والهولنديين من القرنين السابع عشر حتى التاسع عشر.,"Upper floor of the Museum of Fine Arts, eastern wing.",الطابق العلوي بمتحف الفنون الجميلة، الجناح الشرقي.,MuseumHall,Modern Era,31.2015,29.9382,FALSE
ATTR-349,SITE-338,Museum of Fine Arts,Sculpture Hall,قاعة النحت,"A dedicated hall displaying bronze, marble, and mixed-media sculptures by Egyptian and international artists, celebrating the three-dimensional arts in the Alexandrian tradition.",قاعة مخصصة تعرض منحوتات برونزية ورخامية وذات وسائط متعددة لفنانين مصريين ودوليين، تحتفي بالفنون ثلاثية الأبعاد في التقليد الإسكندري.,Central hall of the Museum of Fine Arts ground floor.,القاعة المركزية بالطابق الأرضي لمتحف الفنون الجميلة.,MuseumHall,Modern Era,31.2014,29.9381,FALSE
ATTR-350,SITE-338,Museum of Fine Arts,Temporary Exhibitions Hall,قاعة المعارض المؤقتة,"A flexible gallery space hosting rotating exhibitions of contemporary Egyptian and international art, bringing fresh cultural programming to Alexandria's art scene.",مساحة معرض مرنة تستضيف معارض متناوبة للفن المصري والدولي المعاصر، تجلب برامج ثقافية جديدة إلى المشهد الفني في الإسكندرية.,Ground floor annex of the Museum of Fine Arts near the main entrance.,الملحق بالطابق الأرضي من متحف الفنون الجميلة بالقرب من المدخل الرئيسي.,MuseumHall,Modern Era,31.2016,29.938,FALSE
ATTR-351,SITE-338,Museum of Fine Arts,Alexandrian Artists Retrospective Gallery,قاعة فناني الإسكندرية,"A retrospective gallery celebrating the legacy of Alexandria's most celebrated artists, showcasing their masterworks and documenting their contributions to Egyptian and Mediterranean art.",قاعة استعادية تحتفي بإرث أشهر فناني الإسكندرية، تعرض أعمالهم الفنية البارزة وتوثق مساهماتهم في الفن المصري والمتوسطي.,"First floor of the Museum of Fine Arts, western wing.",الطابق الأول بمتحف الفنون الجميلة، الجناح الغربي.,MuseumHall,Modern Era,31.2015,29.9383,FALSE
ATTR-352,SITE-339,Mahmoud Said Museum,Mahmoud Said Paintings Gallery,قاعة لوحات محمود سعيد,"The principal gallery of the Mahmoud Said Museum showcasing the masterworks of Egypt's greatest modern painter, whose vivid depictions of Egyptian life defined a national artistic identity.",القاعة الرئيسية لمتحف محمود سعيد التي تعرض الأعمال الفنية البارزة لأعظم رسام مصري حديث، الذي شكّل صوره الحية للحياة المصرية هوية فنية وطنية.,"Ground floor of the Mahmoud Said Museum villa in the Gianaclis district, Alexandria.",الطابق الأرضي لفيلا متحف محمود سعيد في حي جيانكليس، الإسكندرية.,MuseumHall,Modern Era,31.2112,29.9436,TRUE
ATTR-353,SITE-339,Mahmoud Said Museum,Seif and Adham Wanly Gallery,قاعة سيف وعدهم وانلي,"A gallery dedicated to the Wanly brothers, Seif and Adham, two prominent Alexandrian painters whose works reflect the Mediterranean spirit and cosmopolitan character of the city.",قاعة مخصصة لأخوي وانلي، سيف وعدهم، رسامين إسكندريين بارزين تعكس أعمالهم الروح المتوسطية والطابع الكوزموبوليتاني للمدينة.,First floor of the Mahmoud Said Museum villa.,الطابق الأول من فيلا متحف محمود سعيد.,MuseumHall,Modern Era,31.2112,29.9436,FALSE
ATTR-354,SITE-339,Mahmoud Said Museum,Villa Architecture and Garden,معمار الفيلا وحديقتها,"The elegant early 20th-century villa building housing the Mahmoud Said Museum, with its Italianate architecture and serene garden serving as a cultural heritage site in its own right.",مبنى الفيلا الأنيق من أوائل القرن العشرين الذي يضم متحف محمود سعيد، مع معماره الإيطالي الطراز وحديقته الهادئة يشكل موروثاً ثقافياً بحد ذاته.,Exterior and grounds of the Mahmoud Said Museum in the Gianaclis district.,الواجهة الخارجية وأرض متحف محمود سعيد في حي جيانكليس.,nature,Modern Era,31.2111,29.9435,FALSE
ATTR-355,SITE-339,Mahmoud Said Museum,Egyptian Folk Life Paintings Section,قسم لوحات الحياة الشعبية المصرية,"A section of the museum dedicated to paintings depicting Egyptian rural and urban folk life, peasants, fishermen, and markets as captured by Mahmoud Said and his contemporaries.",قسم من المتحف مخصص للوحات تصور الحياة الشعبية المصرية الريفية والحضرية، والفلاحين والصيادين والأسواق كما رسمها محمود سعيد ومعاصروه.,Ground floor east wing of the Mahmoud Said Museum.,الجناح الشرقي بالطابق الأرضي من متحف محمود سعيد.,MuseumHall,Modern Era,31.2113,29.9437,FALSE
ATTR-356,SITE-343,Pyramid of Djedefre,Pyramid Core Ruins,أطلال نواة الهرم,"The heavily eroded core of the Pyramid of Djedefre at Abu Rawash, the northernmost pyramid of the Old Kingdom, offering a dramatic ruined silhouette against the desert sky.",نواة هرم جدف رع في أبو رواش الشديدة التآكل، أقصى هرم شمالاً من هرام الدولة القديمة، تقدم صورة ظلية درامية مدمرة في مواجهة السماء الصحراوية.,"Summit of the Abu Rawash plateau, north of Giza.",قمة هضبة أبو رواش، شمال الجيزة.,Ruins,OldKingdom,30.0297,31.0683,TRUE
ATTR-357,SITE-343,Pyramid of Djedefre,Mortuary Temple Remains,بقايا معبد الجنازة,"Scattered foundation blocks and architectural remains of the mortuary temple of Djedefre, once attached to the eastern face of the pyramid and serving funerary cult rituals.",كتل الأساس المتناثرة والبقايا المعمارية لمعبد جنازة جدف رع، التي كانت ملحقة بالواجهة الشرقية للهرم وخدمت طقوس عبادة الجنازة.,Eastern base of the Djedefre pyramid at Abu Rawash archaeological site.,القاعدة الشرقية لهرم جدف رع في الموقع الأثري أبو رواش.,Ruins,OldKingdom,30.0296,31.0685,FALSE
ATTR-358,SITE-343,Pyramid of Djedefre,Causeway Ruins,أطلال الطريق الصاعد,The remnants of the processional causeway that once connected Djedefre's valley temple to his pyramid complex on the plateau above.,بقايا الطريق الموكبي الذي كان يربط معبد وادي جدف رع بمجمع هرمه على الهضبة أعلاه.,Descending from the pyramid base toward the valley at Abu Rawash.,نازلاً من قاعدة الهرم باتجاه الوادي في أبو رواش.,Ruins,OldKingdom,30.0294,31.0682,FALSE
ATTR-359,SITE-343,Pyramid of Djedefre,Rock-Cut Boat Pit,حفرة القارب المنحوتة في الصخر,"A rock-cut pit adjacent to the Djedefre pyramid intended to contain a solar or funerary boat for the king's journey to the afterlife, similar to those found at Giza.",حفرة منحوتة في الصخر بجوار هرم جدف رع كانت مخصصة لاحتضان قارب شمسي أو جنائزي لرحلة الملك إلى العالم الآخر، مشابهة لتلك الموجودة في الجيزة.,South side of the Djedefre pyramid base at Abu Rawash.,الجانب الجنوبي من قاعدة هرم جدف رع في أبو رواش.,Ruins,OldKingdom,30.0296,31.0682,FALSE
ATTR-360,SITE-343,Pyramid of Djedefre,Abu Rawash Archaeological Site,الموقع الأثري بأبو رواش,"The broader Abu Rawash archaeological complex surrounding Djedefre's pyramid, including subsidiary tombs, mastabas, and settlement remains from the Old Kingdom period.",المجمع الأثري الأوسع في أبو رواش المحيط بهرم جدف رع، بما فيه المقابر الفرعية والمصاطب وبقايا المستوطنات من عصر الدولة القديمة.,"Full extent of the Abu Rawash plateau north of Giza, accessible by road.",المساحة الكاملة لهضبة أبو رواش شمال الجيزة، يمكن الوصول إليها بالطريق.,Ruins,OldKingdom,30.0298,31.0684,FALSE
ATTR-361,SITE-344,Dahshur Necropolis,Bent Pyramid,الهرم المائل,"The unique and iconic Bent Pyramid of Pharaoh Sneferu at Dahshur, featuring its distinctive double-angled profile caused by a change in construction angle, the best-preserved pyramid casing in Egypt.",الهرم المائل الفريد والشهير للفرعون سنفرو في دهشور، يتميز بخطوطه المزدوجة الزاوية الناتجة عن تغيير زاوية البناء، وهو أفضل هرم محتفظ بكسوته في مصر.,"Southern sector of the Dahshur necropolis, southwest of Cairo.",القطاع الجنوبي لمنطقة مقابر دهشور، جنوب غرب القاهرة.,Ruins,OldKingdom,29.7943,31.208,TRUE
ATTR-362,SITE-344,Dahshur Necropolis,Red Pyramid,الهرم الأحمر,"The world's first successful true pyramid, built by Pharaoh Sneferu and named for the red limestone used in its construction, rising 105 meters and open to visitors inside.",أول هرم حقيقي ناجح في العالم، بناه الفرعون سنفرو وسُمِّي بالحجر الجيري الأحمر المستخدم في بنائه، يرتفع 105 أمتار ومفتوح للزوار في داخله.,"Northern sector of the Dahshur necropolis, accessible from the main site road.",القطاع الشمالي لمنطقة مقابر دهشور، يمكن الوصول إليه من الطريق الرئيسي للموقع.,Ruins,OldKingdom,29.8086,31.2063,TRUE
ATTR-363,SITE-344,Dahshur Necropolis,Black Pyramid of Amenemhat III,الهرم الأسود للملك أمنمحات الثالث,"The mudbrick pyramid of Middle Kingdom Pharaoh Amenemhat III at Dahshur, its dark decayed core giving it an ominous appearance and historically known as the Black Pyramid.",هرم الطوب النيء للفرعون أمنمحات الثالث في عصر الدولة الوسطى بدهشور، يُضفي نواته الداكنة المتآكلة مظهراً مهيباً وكان يُعرف تاريخياً بالهرم الأسود.,Central area of Dahshur necropolis between the two Sneferu pyramids.,المنطقة المركزية لمنطقة مقابر دهشور بين هرمي سنفرو.,Ruins,MiddleKingdom,29.7952,31.2163,FALSE
ATTR-364,SITE-344,Dahshur Necropolis,Pyramid of Senusret III,هرم سنوسرت الثالث,"A significant Middle Kingdom mudbrick pyramid at Dahshur belonging to Pharaoh Senusret III, surrounded by the tombs of royal women and courtiers of his reign.",هرم من الطوب النيء مهم من عصر الدولة الوسطى في دهشور يعود للفرعون سنوسرت الثالث، تحيط به مقابر النساء الملكيات وحاشية عهده.,"Northern part of the Dahshur necropolis, near the Red Pyramid.",الجزء الشمالي لمنطقة مقابر دهشور، بالقرب من الهرم الأحمر.,Ruins,MiddleKingdom,29.8023,31.2108,FALSE
ATTR-365,SITE-344,Dahshur Necropolis,Valley Temple Ruins,أطلال معبد الوادي,"The excavated foundations of the valley temple associated with Sneferu's Bent Pyramid, once a place of worship and processional terminus at the edge of the cultivation.",الأساسات المكتشفة لمعبد الوادي المرتبط بالهرم المائل لسنفرو، كان في الماضي مكاناً للعبادة ونهاية المواكب عند حافة الأراضي الزراعية.,"Eastern base of the Bent Pyramid, toward the Nile valley, Dahshur.",القاعدة الشرقية للهرم المائل، باتجاه وادي النيل، دهشور.,Ruins,OldKingdom,29.794,31.2115,FALSE
ATTR-366,SITE-344,Dahshur Necropolis,Royal Tombs and Mastabas,المقابر الملكية والمصاطب,A field of mastaba tombs and subsidiary burial structures of Old and Middle Kingdom officials and royalty surrounding the principal pyramids of the Dahshur necropolis.,حقل من مقابر المصاطب والهياكل الجنائزية الفرعية لمسؤولي وملوك عصري الدولتين القديمة والوسطى المحيطة بأهرامات منطقة مقابر دهشور الرئيسية.,Scattered across the full extent of the Dahshur necropolis plateau.,منتشرة على امتداد هضبة مقابر دهشور بالكامل.,Tomb,"OldKingdom, MiddleKingdom",29.798,31.209,FALSE
ATTR-367,SITE-345,Great Sphinx of Giza,Sphinx Viewing Terrace,تراس مشاهدة أبو الهول,"The designated visitor terrace at the base of the Great Sphinx of Giza, providing the iconic face-to-face perspective of the world's largest monolithic statue.",التراس المخصص للزوار عند قاعدة تمثال أبو الهول الكبير في الجيزة، يوفر منظور المواجهة الأيقوني لأكبر تمثال ضخم في العالم.,"At the foot of the Great Sphinx on the Giza plateau, east of the second pyramid.",عند قدم تمثال أبو الهول الكبير على هضبة الجيزة، شرق الهرم الثاني.,Statue,OldKingdom,29.9753,31.1377,TRUE
ATTR-368,SITE-345,Great Sphinx of Giza,Dream Stele of Thutmose IV,لوحة حلم تحتمس الرابع,"A granite stele placed between the paws of the Great Sphinx by Pharaoh Thutmose IV, recording a dream in which the Sphinx promised him the kingship if he cleared the sand from its body.",لوحة جرانيتية وضعها الفرعون تحتمس الرابع بين مخالب أبو الهول الكبير، تسجل حلماً أخبره فيه أبو الهول بالملك إذا أزال الرمال عن جسده.,Between the forepaws of the Great Sphinx of Giza.,بين مخالب تمثال أبو الهول الكبير في الجيزة.,Statue,NewKingdom,29.9753,31.1377,FALSE
ATTR-369,SITE-345,Great Sphinx of Giza,Sphinx Temple,معبد أبو الهول,"The ruined temple directly in front of the Great Sphinx, built from massive limestone and granite blocks and used for the solar cult during the Old Kingdom.",المعبد المدمر مباشرة أمام تمثال أبو الهول الكبير، مبني من كتل ضخمة من الحجر الجيري والجرانيت واستُخدم لعبادة الشمس خلال عصر الدولة القديمة.,Directly east of the Great Sphinx on the Giza plateau.,شرق تمثال أبو الهول الكبير مباشرة على هضبة الجيزة.,Religious,OldKingdom,29.9752,31.138,FALSE
ATTR-370,SITE-345,Great Sphinx of Giza,Valley Temple of Khafre,معبد الوادي للملك خفرع,"The remarkably preserved Valley Temple of Pharaoh Khafre at Giza, constructed from red Aswan granite with a sophisticated T-shaped interior and once home to royal cult statues.",معبد وادي الفرعون خفرع المحفوظ بشكل رائع في الجيزة، مبني من الجرانيت الأحمر الأسواني بداخل متطور على شكل حرف T وكان يضم تماثيل عبادة ملكية.,"At the base of the Giza plateau, adjacent to the Sphinx enclosure.",عند قاعدة هضبة الجيزة، بجوار حرم أبو الهول.,Religious,OldKingdom,29.9747,31.1373,TRUE
ATTR-371,SITE-345,Great Sphinx of Giza,Sound and Light Show Arena,ساحة عرض الصوت والضوء,The open-air amphitheater facing the Sphinx and pyramids where nightly sound and light shows narrate the history of ancient Egypt in a spectacular setting.,المدرج المفتوح في الهواء الطلق المقابل لأبو الهول والأهرامات حيث تُقدِّم عروض الصوت والضوء الليلية تاريخ مصر القديمة في مشهد رائع.,"West of the Sphinx enclosure on the Giza plateau, south of the main entrance.",غرب حرم أبو الهول على هضبة الجيزة، جنوب المدخل الرئيسي.,historical,"OldKingdom, Modern Era",29.975,31.137,FALSE
ATTR-372,SITE-346,Mit Rahina Museum,Colossal Statue of Ramesses II,التمثال العملاق لرمسيس الثاني,"The magnificent fallen colossal limestone statue of Ramesses II, originally over 10 meters tall, displayed horizontally in a purpose-built museum at the ancient site of Memphis.",تمثال الحجر الجيري الضخم الرائع لرمسيس الثاني في وضع أفقي، كان ارتفاعه الأصلي يتجاوز 10 أمتار، معروض أفقياً في متحف مخصص في الموقع القديم لمنف.,Central pavilion of the Mit Rahina Museum at the Memphis site south of Cairo.,الجناح المركزي لمتحف منف في الموقع الجنوبي من القاهرة.,Statue,NewKingdom,29.8461,31.2563,TRUE
ATTR-373,SITE-346,Mit Rahina Museum,Alabaster Sphinx,أبو الهول الألباستري,"A remarkable alabaster sphinx discovered at the ancient site of Memphis, one of the largest alabaster statues known, depicting a pharaoh in the classic sphinx pose.",تمثال أبو الهول الألباستري الرائع المكتشف في الموقع القديم لمنف، أحد أكبر التماثيل الألباسترية المعروفة، يصور فرعوناً في وضع أبو الهول الكلاسيكي.,"Open-air garden of the Mit Rahina Museum, adjacent to the museum pavilion.",الحديقة المفتوحة لمتحف منف، بجوار جناح المتحف.,Statue,NewKingdom,29.8462,31.2564,TRUE
ATTR-374,SITE-346,Mit Rahina Museum,Open-Air Antiquities Garden,حديقة الآثار المفتوحة,"A garden displaying architectural fragments, statues, column capitals, and other ancient stone artifacts from the city of Memphis scattered across a landscaped outdoor setting.",حديقة تعرض شظايا معمارية وتماثيل وتيجان أعمدة وغيرها من القطع الحجرية القديمة من مدينة منف منتشرة في محيط خارجي منسق.,Outdoor grounds of the Mit Rahina Museum site at Memphis.,أراضي متحف منف الخارجية في الموقع.,Ruins,"OldKingdom, NewKingdom",29.846,31.2562,FALSE
ATTR-375,SITE-346,Mit Rahina Museum,Memphis Artifacts Hall,قاعة آثار منف,"An indoor hall containing a selection of significant artifacts from Memphis, Egypt's ancient capital, including inscribed blocks, relief fragments, and royal objects.",قاعة داخلية تحتوي على مجموعة من القطع الأثرية الهامة من منف، العاصمة القديمة لمصر، بما فيها كتل منقوشة وأجزاء نقوش بارزة وأشياء ملكية.,Interior hall of the Mit Rahina Museum at the Memphis site.,القاعة الداخلية لمتحف منف في الموقع.,MuseumHall,"OldKingdom, MiddleKingdom, NewKingdom",29.8461,31.2563,FALSE
ATTR-376,SITE-346,Mit Rahina Museum,Ancient Memphis Site Ruins,أطلال موقع منف القديمة,"The extensive surface remains and excavation areas of ancient Memphis, once Egypt's greatest city and administrative capital for much of pharaonic history.",البقايا السطحية الواسعة ومناطق الحفريات لمنف القديمة، التي كانت أعظم مدن مصر وعاصمتها الإدارية لجزء كبير من التاريخ الفرعوني.,Surrounding the Mit Rahina Museum grounds and extending across the modern village.,تحيط بأراضي متحف منف وتمتد عبر القرية الحديثة.,Ruins,"OldKingdom, MiddleKingdom, NewKingdom",29.8458,31.256,FALSE
ATTR-377,SITE-347,The Grand Egyptian Museum,Tutankhamun Treasures Gallery,قاعة كنوز توتانخامون,"The world's most comprehensive display of Tutankhamun's treasures, featuring all 5,000-plus artifacts from his intact tomb including the golden death mask, chariots, and thrones.",أشمل عرض في العالم لكنوز توتانخامون، يضم جميع القطع الأثرية الأكثر من 5000 من قبره السليم بما فيها القناع الذهبي والمركبات والعروش.,"First floor of the Grand Egyptian Museum, dedicated Tutankhamun wing.",الطابق الأول بالمتحف المصري الكبير، الجناح المخصص لتوتانخامون.,MuseumHall,NewKingdom,29.9876,31.1258,TRUE
ATTR-378,SITE-347,The Grand Egyptian Museum,Grand Staircase and Ramesses II Statue,السلم الكبير وتمثال رمسيس الثاني,"The breathtaking grand atrium staircase of the GEM, flanked by the 83-tonne granite colossus of Ramesses II, creating one of the most iconic museum entrances in the world.",السلم الكبير المذهل في المتحف المصري الكبير، تحيط به التمثال الجرانيتي الضخم البالغ 83 طناً لرمسيس الثاني، مما يخلق أحد أشهر مداخل المتاحف في العالم.,Main entrance atrium of the Grand Egyptian Museum at Giza.,الردهة الرئيسية للمدخل بالمتحف المصري الكبير في الجيزة.,MuseumHall,"NewKingdom, Modern Era",29.9876,31.1258,TRUE
ATTR-379,SITE-347,The Grand Egyptian Museum,Children's Museum,متحف الأطفال,"An interactive children's museum within the GEM designed to engage young visitors with ancient Egyptian history through hands-on exhibits, storytelling, and immersive experiences.",متحف أطفال تفاعلي داخل المتحف المصري الكبير مصمم لإشراك الزوار الصغار مع التاريخ المصري القديم من خلال معارض تطبيقية وسرد قصصي وتجارب غامرة.,"Ground floor of the Grand Egyptian Museum, education wing.",الطابق الأرضي بالمتحف المصري الكبير، جناح التعليم.,MuseumHall,Modern Era,29.9874,31.1256,FALSE
ATTR-380,SITE-347,The Grand Egyptian Museum,Solar Boat Museum,متحف المركب الشمسية,"A dedicated conservation and display hall for the ancient solar boat of Pharaoh Khufu, the world's oldest intact wooden vessel, reassembled from over 1,200 timber pieces.",قاعة ترميم وعرض مخصصة للقارب الشمسي القديم للفرعون خوفو، أقدم سفينة خشبية سليمة في العالم، أُعيد تجميعها من أكثر من 1200 قطعة خشبية.,"Adjacent wing to the main Grand Egyptian Museum building, connected by walkway.",الجناح المجاور للمبنى الرئيسي للمتحف المصري الكبير، متصل بممشى.,MuseumHall,OldKingdom,29.9878,31.1262,TRUE
ATTR-381,SITE-347,The Grand Egyptian Museum,Royal Mummies Hall,قاعة المومياوات الملكية,"A state-of-the-art gallery housing the royal mummies of Egypt's most celebrated pharaohs and queens, displayed with the utmost respect in a specially climate-controlled environment.",قاعة متطورة تضم مومياوات الفراعنة والملكات الأكثر شهرة في مصر، معروضة باحترام بالغ في بيئة ذات مناخ متحكم فيه بشكل خاص.,"Dedicated wing of the Grand Egyptian Museum, upper floor.",الجناح المخصص بالمتحف المصري الكبير، الطابق العلوي.,MuseumHall,NewKingdom,29.9877,31.1259,TRUE
ATTR-382,SITE-347,The Grand Egyptian Museum,Ancient Egyptian Civilization Gallery,قاعة الحضارة المصرية القديمة,"A sweeping thematic gallery tracing the full arc of ancient Egyptian civilization from prehistoric times through the Roman period, organized by theme and historical period.",قاعة موضوعاتية شاملة تتتبع المسار الكامل للحضارة المصرية القديمة من عصور ما قبل التاريخ حتى العصر الروماني، منظمة حسب الموضوع والحقبة التاريخية.,"Ground and first floors of the Grand Egyptian Museum, central galleries.",الطابقان الأرضي والأول بالمتحف المصري الكبير، القاعات المركزية.,MuseumHall,"OldKingdom, MiddleKingdom, NewKingdom, Ptolemaic, Roman",29.9875,31.1257,TRUE
ATTR-383,SITE-347,The Grand Egyptian Museum,Temporary Exhibitions Pavilion,جناح المعارض المؤقتة,"A large flexible pavilion designed to host international traveling exhibitions and special thematic displays, bringing the world's great cultural collections to Egypt.",جناح مرن كبير مصمم لاستضافة المعارض الدولية المتنقلة والعروض الموضوعاتية الخاصة، يجلب مجموعات ثقافية عظيمة من حول العالم إلى مصر.,Northern wing of the Grand Egyptian Museum complex near the main entrance.,الجناح الشمالي لمجمع المتحف المصري الكبير بالقرب من المدخل الرئيسي.,MuseumHall,Modern Era,29.9879,31.1255,FALSE
ATTR-384,SITE-348,Saqqara Monuments,Step Pyramid of Djoser,هرم زوسر المدرج,"The world's oldest monumental stone structure, built c. 2650 BC by architect Imhotep for Pharaoh Djoser, comprising six stepped mastabas rising 62 meters above the Saqqara plateau.",أقدم هيكل حجري ضخم في العالم، بُني نحو 2650 ق.م. بواسطة المعماري إمحوتب للفرعون زوسر، يتكون من ست مصاطب متدرجة ترتفع 62 متراً فوق هضبة سقارة.,"Center of the Saqqara archaeological site, north of Dahshur.",مركز الموقع الأثري سقارة، شمال دهشور.,Ruins,OldKingdom,29.8714,31.2161,TRUE
ATTR-385,SITE-348,Saqqara Monuments,Pyramid of Unas,هرم أوناس,"The pyramid of the last pharaoh of the 5th Dynasty, Unas, remarkable for containing the earliest examples of the Pyramid Texts, the oldest religious corpus in the world.",هرم الفرعون الأخير من الأسرة الخامسة، أوناس، ومشهور باحتوائه على أقدم أمثلة لنصوص الأهرام، أقدم مجموعة دينية في العالم.,South of the Step Pyramid complex at Saqqara.,جنوب مجمع الهرم المدرج في سقارة.,Ruins,OldKingdom,29.8677,31.2152,TRUE
ATTR-386,SITE-348,Saqqara Monuments,Tomb of Mereruka,مقبرة مريروكا,"The largest Old Kingdom mastaba tomb at Saqqara, belonging to the vizier Mereruka, featuring 32 decorated chambers with vivid painted reliefs of daily life, agriculture, and funerary scenes.",أكبر مقبرة مصطبة في عصر الدولة القديمة في سقارة، تعود للوزير مريروكا، تضم 32 حجرة مزخرفة بنقوش بارزة ملونة زاهية تصور الحياة اليومية والزراعة ومشاهد الجنازة.,North of the Step Pyramid of Djoser at Saqqara.,شمال الهرم المدرج لزوسر في سقارة.,Tomb,OldKingdom,29.8734,31.217,TRUE
ATTR-387,SITE-348,Saqqara Monuments,Tomb of Ti,مقبرة تي,"A superbly decorated Old Kingdom mastaba tomb of the court official Ti, celebrated for its remarkably well-preserved painted reliefs depicting scenes of estate management, hunting, and crafts.",مقبرة مصطبة مزخرفة بشكل رائع من عصر الدولة القديمة للمسؤول الملكي تي، مشهورة بنقوشها البارزة المرسومة المحفوظة بشكل جيد والتي تصور مشاهد إدارة الضيعة والصيد والحرف.,"Northwest of the Step Pyramid at Saqqara, near the Serapeum entrance.",شمال غرب الهرم المدرج في سقارة، بالقرب من مدخل السيرابيوم.,Tomb,OldKingdom,29.8749,31.2145,FALSE
ATTR-388,SITE-348,Saqqara Monuments,Serapeum of Saqqara,سيرابيوم سقارة,"The underground labyrinthine tomb complex of the sacred Apis bulls, carved into the bedrock of Saqqara, containing massive granite sarcophagi weighing up to 80 tonnes each.",مجمع المقابر المتاهية تحت الأرض للثيران المقدسة أبيس، المنحوت في الصخر الأساسي لسقارة، يحتوي على توابيت جرانيتية ضخمة يزن كل منها حتى 80 طناً.,"Northwest area of the Saqqara necropolis, beyond the Tomb of Ti.",المنطقة الشمالية الغربية لمنطقة مقابر سقارة، خارج مقبرة تي.,Ruins,"NewKingdom, Ptolemaic",29.8764,31.2139,TRUE
ATTR-389,SITE-348,Saqqara Monuments,Imhotep Museum,متحف إمحوتب,"An on-site museum at Saqqara dedicated to the great architect and physician Imhotep, displaying artifacts recovered from excavations at Saqqara and related to the Step Pyramid complex.",متحف في الموقع في سقارة مخصص للمعماري والطبيب العظيم إمحوتب، يعرض القطع الأثرية المستخرجة من حفريات سقارة والمرتبطة بمجمع الهرم المدرج.,"Entrance area of the Saqqara archaeological site, near the visitor center.",منطقة المدخل للموقع الأثري سقارة، بالقرب من مركز الزوار.,MuseumHall,"OldKingdom, Modern Era",29.8719,31.2167,FALSE
